ProjectAccession,InclusionReason
PXD041334,"File ""src/lxml/parser.pxi"", line 672, in lxml.etree._raiseParseError | File ""560151_293_Myc_CBioTAP_IP.mzid"", line 13600 | lxml.etree.XMLSyntaxError: attributes construct error, line 13600, column 164"
PXD046895,"Validating file R545-Xlink_Craig_F020244.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File R545-Xlink_Craig_F020244.mzid is schema invalid."
PXD051423,"Error: Element '{http://psidev.info/psi/pi/mzIdentML/1.2}cvParam': The attribute 'cvRef' is required but missing., Line: 10152 | Error: Element '{http://psidev.info/psi/pi/mzIdentML/1.2}cvParam': The attribute 'accession' is required but missing., Line: 10152 | File E240411_AMC_Mart_LDLandLDLR_Sulfo..."
PXD051588,"Error: Element '{http://psidev.info/psi/pi/mzIdentML/1.2}cvParam': The attribute 'cvRef' is required but missing., Line: 8279 | Error: Element '{http://psidev.info/psi/pi/mzIdentML/1.2}cvParam': The attribute 'accession' is required but missing., Line: 8279 | File E240418_AMC_Mart_LDLandLDLR_SulfoSD..."
PXD053253,"Validating file Experiment_JMS987_S2_TH_NT_2_from_JMS987_Fusion_S2_TH_NT_2.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File Experiment_JMS987_S2_TH_NT_2_from_JMS987_Fusion_S2_TH_NT_2.mzid is schema invalid."
PXD053415,"Validating file Experiment_RA912_6MAM_from_RA912_66MAM.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File Experiment_RA912_6MAM_from_RA912_66MAM.mzid is schema invalid."
PXD055405,"Validating file mascot_daemon_merge__20161015_HM_Substrates_LAP_her2-18_.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File mascot_daemon_merge__20161015_HM_Substrates_LAP_her2-18_.mzid is schema invalid."
PXD055411,"Validating file mascot_daemon_merge__LAP_BT474_N3_MATX_.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File mascot_daemon_merge__LAP_BT474_N3_MATX_.mzid is schema invalid."
PXD055603,"Validating file mascot_daemon_merge__20161201_HM_2DE_RESISTANCE_N2_.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File mascot_daemon_merge__20161201_HM_2DE_RESISTANCE_N2_.mzid is schema invalid."
PXD028039,2026-02-05 14:53:52 - parser.process_dataset - INFO - parsing AnalysisProtocolCollection - done. Time: 0.0 sec | Error parsing Tryp_Xi1.7.4.mzid | Missing peak list file: 3324_AJ_Tetramer-Tryp.mgf
PXD025728,2026-02-05 14:55:09 - parser.process_dataset - INFO - parsing AnalysisProtocolCollection - done. Time: 0.0 sec | Error parsing RORg2_SRC3_XL-MS_Search.mzid | Missing peak list file: RORg2_SRC3_XL-MS_Search.mzML
PXD029252,2026-02-05 14:55:30 - parser.process_dataset - INFO - parsing AnalysisProtocolCollection - done. Time: 0.0 sec | Error parsing QExHFX3_RSLC10_DSSO_mainlib_SECall_KK_1FDR_linkandCSM_671fasta_Xi1.7.6.5.mzid | Missing peak list file: 20210203_QExHFX3_RSLC10_DSSO_mainlib_1_5HEK_SEC_fraction_11.mgf
PXD041955,2026-02-05 15:00:27 - parser.process_dataset - INFO - parsing AnalysisProtocolCollection - done. Time: 0.0 sec | Error parsing 20211219_Eclipse_LC4_G2_Trap_backflash_Peplib20_DSBSO_pl2_MS3_OTOTOT.mzid | Missing peak list file: 20211219_Eclipse_LC4_G2_Trap_backflash_Peplib20_DSBSO_pl2_MS3_OTOTOT.mzML
PXD042549,2026-02-05 15:00:30 - parser.process_dataset - INFO - parsing AnalysisProtocolCollection - done. Time: 0.0 sec | Error parsing QX28987AG.mzid | Missing peak list file: QX28987AG.mzML
PXD046392,2026-02-05 15:00:32 - parser.process_dataset - INFO - parsing AnalysisProtocolCollection - done. Time: 0.0 sec | Error parsing QBP_XL_BS3_replicates_d4_apo.mzid | Missing peak list file: GlnH_XL_BS3_replicates_d4_apo.mzML
PXD046634,2026-02-05 15:00:35 - parser.process_dataset - INFO - parsing AnalysisProtocolCollection - done. Time: 0.0 sec | Error parsing CtRoco-GTPgS.mzid | Missing peak list file: CtRoco-GTPgS.mzML
PXD051886,2026-02-05 15:20:03 - parser.process_dataset - INFO - parse db sequences - start | Error parsing 231205_Borsellini_AB4_5pc_10pcppi_boostBetween_prefilers.mzid | INSERT value for column dbsequence.sequence is explicitly rendered as a boundparameter in the VALUES clause; a Python-side value or SQL exp...
PXD052584,2026-02-05 15:20:12 - parser.process_dataset - INFO - parsing AnalysisProtocolCollection - done. Time: 0.0 sec | Error parsing 20210303_AN_DSSOXL_HisSARSCoV2N_28-2_soln5_50x.mzid | Missing peak list file: 20210303_AN_DSSOXL_HisSARSCoV2N_28-2_soln5_50x.mzML
PXD053341,2026-02-05 15:29:02 - parser.process_dataset - INFO - parse db sequences - start | Error parsing 240306_Syed_SNAPCDNA_boostBetween_nocons.mzid | INSERT value for column dbsequence.sequence is explicitly rendered as a boundparameter in the VALUES clause; a Python-side value or SQL expression is requi...
PXD053636,2026-02-05 15:29:06 - parser.process_dataset - INFO - parsing AnalysisProtocolCollection - done. Time: 0.0 sec | Error parsing QE42756GFH.mzid | Missing peak list file: QE42756GFH.mzML
PXD055077,2026-02-05 15:29:09 - parser.process_dataset - INFO - parsing AnalysisProtocolCollection- start | Error parsing SUMOylation_PhoX_TBDSPP_FAIMS_140823.mzid | list index out of range
PXD055147,2026-02-05 15:33:35 - parser.process_dataset - INFO - parse peptide evidences - done. Time: 1.46 sec | Error parsing Pombe_CCR4NOT_SDA_filter1LinkFDRBB.mzid | DBSequence Q09818 has no sequence.PXD059096,Validation timed out
PXD059974,"Validating file WT_DHSO_25mM_Dimer_DDA_2.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File WT_DHSO_25mM_Dimer_DDA_2.mzid is schema invalid."
PXD060469,2026-02-05 20:10:23 - parser.process_dataset - INFO - parsing AnalysisProtocolCollection - done. Time: 0.0 sec | Error parsing 4A_DSSO_Mono_XL_1.mzid | Missing peak list file: 4A_DSSO_Mono_XL_1.mzML
PXD062002,"Validating file 5mM_DSG.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 5mM_DSG.mzid is schema invalid."
PXD065782,2026-02-05 20:13:37 - parser.process_dataset - INFO - parsing AnalysisProtocolCollection - done. Time: 0.0 sec | Error parsing 5073_IM_Dimer_DSSO_Tryp.mzid | Missing peak list file: 5073_IM_B3_B4_Tryp_S04.mgf
PXD068080,2026-02-05 20:13:40 - parser.process_dataset - INFO - parsing AnalysisProtocolCollection - done. Time: 0.0 sec | Error parsing 20230801_bkc_24-0357_Antony_Deveryshetty_08_hPRA_T191D_plusd7_25.mzid | Missing peak list file: 20230801_bkc_24-0357_Antony_Deveryshetty_08_hPRA_T191D_plusd7_25.mzML
PXD059096,"Error: Element '{http://psidev.info/psi/pi/mzIdentML/1.2}PeptideEvidence': Duplicate key-sequence ['PE_3581_XL_-354_3581_243_251_-4188399694065697939'] in unique identity-constraint '{http://psidev.info/psi/pi/mzIdentML/1.2}PK_SCPEPEVLIPEPEV'., Line: 1010462 | Error: Element '{http://psidev.info/psi..."
PXD001593,"Validating file 83CWS_1Apr2010undigestedF059905.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 83CWS_1Apr2010undigestedF059905.mzid is schema invalid."
PXD003532,"Validating file Experimentmaxquantresults_16_1K1fromQEPlus2_12172015_16_1K1.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File Experimentmaxquantresults_16_1K1fromQEPlus2_12172015_16_1K1.mzid is schema invalid."
PXD005461,"Validating file OBJ7527_F059818.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File OBJ7527_F059818.mzid is schema invalid."
PXD009239,"Validating file FileName_DCP-SM-Pri-1Phos1.rawF031158.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File FileName_DCP-SM-Pri-1Phos1.rawF031158.mzid is schema invalid."
PXD012753,"Validating file F009919_MouseSkinDermis_Urea_YoungOldOVX.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File F009919_MouseSkinDermis_Urea_YoungOldOVX.mzid is schema invalid."
PXD001593,"Validating file 75CWI-US_1apr10undigestedF059900.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 75CWI-US_1apr10undigestedF059900.mzid is schema invalid."
PXD003532,"Validating file Experimentmaxquantresults_8_1W4fromQEPlus2_12172015_8_1W4.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File Experimentmaxquantresults_8_1W4fromQEPlus2_12172015_8_1W4.mzid is schema invalid."
PXD005461,"Validating file OBJ7527_F059818.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File OBJ7527_F059818.mzid is schema invalid."
PXD009239,"Validating file FileName_SM-3-STD-3.rawF031163.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File FileName_SM-3-STD-3.rawF031163.mzid is schema invalid."
PXD012753,"Validating file F009919_MouseSkinDermis_Urea_YoungOldOVX.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File F009919_MouseSkinDermis_Urea_YoungOldOVX.mzid is schema invalid."
PXD012754,"Validating file F010084_MouseSkinDermis_NaCl_YoungOld.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File F010084_MouseSkinDermis_NaCl_YoungOld.mzid is schema invalid."
PXD015981,"Validating file H_FFPE_8A.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File H_FFPE_8A.mzid is schema invalid."
PXD015982,"Validating file 20150517_Fisher_Skin_1257_3050_forearm_CNBr_01F100805.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 20150517_Fisher_Skin_1257_3050_forearm_CNBr_01F100805.mzid is schema invalid."
PXD018600,"Validating file CSL9686A9RW2_C3_118_peptides_1_1_0.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File CSL9686A9RW2_C3_118_peptides_1_1_0.mzid is schema invalid."
PXD018687,"Validating file SHR_2_DC25.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File SHR_2_DC25.mzid is schema invalid."
PXD022163,"Validating file Mudpit_93_24_1.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File Mudpit_93_24_1.mzid is schema invalid."
PXD022279,"Validating file 2020-02-11-yj-backus-jcII15.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 2020-02-11-yj-backus-jcII15.mzid is schema invalid."
PXD022440,"Validating file IP_15min_Plk1F064863.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File IP_15min_Plk1F064863.mzid is schema invalid."
PXD026622,"Validating file Anish_iTRAQ_3h_SPSMS3_fraction1_12.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File Anish_iTRAQ_3h_SPSMS3_fraction1_12.mzid is schema invalid."
PXD028685,"Validating file Belogurov_014_20210327_ZR_ES-4.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File Belogurov_014_20210327_ZR_ES-4.mzid is schema invalid."
PXD029749,"Validating file 211021L-BY116_518_CF-trypsin_13-iso-2OH.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 211021L-BY116_518_CF-trypsin_13-iso-2OH.mzid is schema invalid."
PXD029833,"Validating file export_Mzidentml_F138353.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File export_Mzidentml_F138353.mzid is schema invalid."
PXD030048,"Validating file export_Mzidentml_F004247.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File export_Mzidentml_F004247.mzid is schema invalid."
PXD031166,"Validating file 005_el-009_F20__F063994_.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 005_el-009_F20__F063994_.mzid is schema invalid."
PXD031261,"Validating file Mudpit_2-_1___2.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File Mudpit_2-_1___2.mzid is schema invalid."
PXD035201,"Validating file 20210625_Rix_Yi_Exclusion_FBDD_95_1.raw__F002658_.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 20210625_Rix_Yi_Exclusion_FBDD_95_1.raw__F002658_.mzid is schema invalid."
